"","trains","instances","ce-grounding","ce-global","ce-rules","ce-variables","ce-constraints","ce-timeouts","cs-grounding","cs-global","cs-rules","cs-variables","cs-constraints","cs-timeouts","ch-grounding","ch-global","ch-rules","ch-variables","ch-constraints","ch-timeouts"
"1",2,70,10.1503428571429,15.8772,3054206.68571429,1069490.54285714,5185702.2,0,2.70914285714286,2.98214285714286,549975.914285714,424274.071428571,1567199.45714286,0,9.42044285714286,14.1234428571429,2589443.81428571,958858.928571429,4242545.74285714,0
"2",3,70,17.8334428571429,34.4610142857143,5056109.52857143,1838336.37142857,8959021.1,0,4.5422,5.94577142857143,962308.285714286,719000.542857143,2705885.2,0,16.3332714285714,40.0371285714286,4353679.12857143,1680912.32857143,7452656.44285714,0
"3",4,70,26.4042428571429,79.4683857142857,7153301.98571429,2654786.14285714,12875913.1,0,6.75228571428571,10.8462857142857,1452521.32857143,1054568.51428571,4051061.24285714,0,23.9275,80.8897857142857,6132260.68571429,2408996.97142857,10722618.5142857,0
"4",5,70,34.0283142857143,134.0566,8979297.21428571,3258335.64285714,15936978.8571429,0,8.55904285714286,21.3990428571429,1885057.95714286,1322523.3,5144477.72857143,0,30.1581,124.350528571429,7722279.85714286,2964259.91428571,13294568.9857143,0
"5",6,70,41.9537142857143,167.963,11037772.5571429,4007650.15714286,19662037.1714286,0,10.8055428571429,53.4901142857143,2374802.78571429,1600442.51428571,6313807.1,0,37.4066,291.815885714286,9498969.77142857,3641839.51428571,16426622.9142857,1
"6",7,10,50.9206,263.9376,12926592.3,4706535,23073120.6,0,12.9696,62.9706,2794790.8,1879691.6,7425011.9,0,44.0125,511.0645,11138701.7,4281979.9,19301178.5,0
"7",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
