"","source","trains","choices","conflicts","constraints","error","mem","memout","models","overall-time","par2","restarts","rules","solving-time","time","timeout","variables"
"1","ba",2,193800.071428571,8859.35714285714,682510.214285714,0,196.342857142857,0,1,7.72684285714286,7.79742857142857,32.2285714285714,526833.642857143,5.55028571428571,7.79742857142857,0,261140.7
"2","ba",3,2153576.94285714,104495.128571429,1007508.02857143,0,276.985714285714,0,1,73.1235,73.2374285714286,271.5,793003.814285714,69.9722857142857,73.2374285714286,0,368085.328571429
"3","ba",4,9013410.72413793,477701.379310345,1230488.05172414,0,332.310344827586,0,1,314.624689655172,314.77724137931,1064.46551724138,998404,310.729310344828,314.77724137931,0,435050.172413793
"4","ba",5,16683734.2666667,976403.8,1159874.4,0,320.5,0,1,606.336866666667,606.473333333333,2130.33333333333,999209.266666667,602.523,606.473333333333,0,412712.433333333
"5","ba",6,21354923.7692308,1274704.46153846,1272350.38461538,0,351.307692307692,0,1,819.876,820.015384615385,2764.38461538462,1133907.23076923,815.526923076923,820.015384615385,0,445077.307692308
"6","ma",2,160467.6,9313.44285714286,767748.014285714,0,248.542857142857,0,1,8.93884285714286,9.03157142857143,32.7285714285714,801516.014285714,5.86657142857143,9.03157142857143,0,298687.542857143
"7","ma",3,1732439.52857143,106274.7,1130506.85714286,0,357.314285714286,0,1,81.0919714285714,81.2411428571429,264.814285714286,1189087.58571429,76.5922857142857,81.2411428571429,0,427171.285714286
"8","ma",4,7652113.0483871,473180.758064516,1418225.96774194,0,446.435483870968,0,1,352.83014516129,353.022580645161,1037.96774193548,1553407.90322581,346.981774193548,353.022580645161,0,525776.64516129
"9","ma",5,15291709.1025641,1017613.41025641,1468996.38461538,0,472.51282051282,0,1,726.790205128205,727.00641025641,2129.10256410256,1738856.43589744,720.235128205128,727.00641025641,0,546284.461538462
"10","ma",6,19382532.7142857,1226989.14285714,1794823.28571429,0,551.142857142857,0,1,890.471357142857,890.704285714286,2554.07142857143,2059424.78571429,882.882857142857,890.704285714286,0,643755.071428571
"11","de",2,128813.114285714,8138.64285714286,21649502.1,0,2627.62857142857,0,1,86.3841571428571,86.9014285714286,28.6285714285714,10424661.4142857,47.4561428571429,86.9014285714286,0,4250093.12857143
"12","de",3,447797.428571429,19345.4428571429,41164599.2428571,0,5164.02857142857,0,1,201.340342857143,202.695571428571,59.8714285714286,21709987.7714286,119.587857142857,202.695571428571,0,7309423
"13","de",4,1370160.72131148,55371.5573770492,59374136,0,7719.60655737705,0,1,471.116721311475,473.290655737705,148.459016393443,34247468.9672131,340.395409836066,473.290655737705,0,9643268.19672131
"14","de",5,1930859.35,77345,60730426.525,0,8175.25,0,1,491.797125,493.409,196.825,38079995.9,349.62675,493.409,0,8848574.75
"15","de",6,2338979.75,97647.75,71226523.8214286,0,9941.32142857143,0,1,556.676392857143,558.498928571429,235.071428571429,47503291.4642857,376.845357142857,558.498928571429,0,9428235.39285714
"16","de",7,1065102,43096.5,57376508.5,0,8620.5,0,1,295.1455,296.66,124,43427815,128.75,296.66,0,6152679.5
"17","ds",2,714.842857142857,62.4857142857143,10059450.4571429,0,1250.95714285714,0,1,20.1745571428571,20.4482857142857,0.285714285714286,4545470.95714286,0.479285714285714,20.4482857142857,0,2004087.4
"18","ds",3,5139.38571428571,296.871428571429,20093833.5285714,0,2627.04285714286,0,1,47.4116571428571,47.9252857142857,1.07142857142857,10757685.6,2.17628571428571,47.9252857142857,0,3413387.7
