"","trains","instances","dl2-grounding","dl2-global","dl2-rules","dl2-variables","dl2-constraints","dl2-timeouts","dl4-grounding","dl4-global","dl4-rules","dl4-variables","dl4-constraints","dl4-timeouts","dl75-grounding","dl75-global","dl75-rules","dl75-variables","dl75-constraints","dl75-timeouts","dlhh2-grounding","dlhh2-global","dlhh2-rules","dlhh2-variables","dlhh2-constraints","dlhh2-timeouts","dlhh4-grounding","dlhh4-global","dlhh4-rules","dlhh4-variables","dlhh4-constraints","dlhh4-timeouts","dlhh75-grounding","dlhh75-global","dlhh75-rules","dlhh75-variables","dlhh75-constraints","dlhh75-timeouts"
"1",2,70,1.99558571428571,2.15401428571429,365388.071428571,279436.514285714,1028389.72857143,0,1.2066,1.23817142857143,189920.071428571,118546.8,410167.128571429,0,2.409,2.92128571428571,498446.542857143,391758.228571429,1459088.87142857,0,0.598585714285714,0.605442857142857,54506.5571428571,31283.9571428571,99014.7714285714,0,0.420128571428571,0.420128571428571,12551.4571428571,2783.2,7526.7,0,1.10237142857143,1.12937142857143,171254.671428571,120255.828571429,406296.814285714,0
"2",3,70,3.27818571428571,4.5509,658994.342857143,481563.471428571,1820593.38571429,0,1.83348571428571,1.93677142857143,356799.057142857,206393.914285714,744359.257142857,0,4.0777,6.53155714285714,880138.842857143,667569.771428571,2529814.65714286,0,1.06544285714286,1.0923,152054.971428571,103288.771428571,336212.985714286,0,0.453285714285714,0.453857142857143,22613.3428571429,8495.1,23791.4857142857,0,2.78391428571429,2.90962857142857,515808.485714286,394156.6,1357754.8,0
"3",4,70,4.74782857142857,8.36611428571429,1005300.38571429,695920.9,2692896.91428571,0,2.54982857142857,2.92311428571429,537554.7,302421.642857143,1124990.87142857,0,5.969,18.3552857142857,1332127.81428571,975393.314285714,3768601.85714286,0,1.87515714285714,2.05415714285714,303084.5,216266.828571429,711992.057142857,0,0.510385714285714,0.513957142857143,36703.2857142857,17288.0428571429,48886.9285714286,0,5.67095714285714,6.10967142857143,1056887.64285714,830385.028571429,2884475.85714286,0
"4",5,70,6.11024285714286,18.0109571428571,1332720.48571429,881389.928571429,3481503,0,3.20534285714286,4.29662857142857,740366.571428571,377099.814285714,1462118.48571429,0,7.64257142857143,28.998,1737480.4,1226370.87142857,4802260.87142857,0,2.93198571428571,3.26941428571429,499120.542857143,366209.3,1210438.85714286,0,0.589014285714286,0.597871428571429,55393.0428571429,28449.2857142857,81482.6142857143,0,9.57837142857143,19.2893714285714,1765921.44285714,1411168.62857143,4920191.67142857,0
"5",6,70,7.56942857142857,32.068,1702817.8,1063995.05714286,4289786.28571429,0,3.90841428571429,5.55755714285714,961047.242857143,454686.242857143,1815441.7,0,9.54207142857143,63.9977857142857,2194969.14285714,1483848.77142857,5900444.74285714,0,4.27215714285714,4.65972857142857,734198.457142857,542756.442857143,1796291.42857143,0,0.690028571428571,0.704314285714286,77200.3,41605.8285714286,119377.114285714,0,14.2302285714286,34.1632285714286,2623604.67142857,2101985.4,7332797.27142857,0
"6",7,10,8.9822,57.8072,2006442.6,1249812.7,5047721.9,0,4.5731,6.4301,1162599.6,530863.5,2144440.4,0,11.4144,64.4244,2583779.3,1743221.1,6941525.5,0,5.8521,14.8421,1021121.5,760552.7,2521028.9,0,0.8263,0.8503,103726.8,57680,166075.5,0,20.449,72.436,3667270.8,2950824.1,10304487.9,0
"7",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
