"","trains","instances","me-grounding","me-global","me-rules","me-variables","me-constraints","me-timeouts","mh-grounding","mh-global","mh-rules","mh-variables","mh-constraints","mh-timeouts","ms-grounding","ms-global","ms-rules","ms-variables","ms-constraints","ms-timeouts"
"1",2,70,14.1426571428571,21.5619428571429,3916734.14285714,1015463.02857143,5894601,0,12.6031,20.0453857142857,3371983.91428571,907310.928571429,4919588.15714286,0,5.22294285714286,5.51208571428571,1136730.55714286,379174.428571429,2039514.47142857,0
"2",3,70,31.2545142857143,51.7892285714286,8051826.25714286,1749795.42857143,11656412.9571429,0,28.5696,50.6201714285714,7145125.6,1595704.81428571,10067361.0428571,0,13.6503,14.9538714285714,3029737.84285714,644693.557142857,4559727.28571429,0
"3",4,70,56.2050857142857,106.5028,13675051.4142857,2530988,18833982.0285714,0,50.7758714285714,107.088157142857,12156261.9571429,2290298.54285714,16492004.5428571,0,27.7714285714286,33.0598571428571,6028459.81428571,950721.928571429,8271300.15714286,0
"4",5,70,84.5333428571429,199.343057142857,19846604.0857143,3104847.61428571,26013116.7857143,0,76.4577714285714,210.815057142857,17813024.2142857,2816939.05714286,23066787.7571429,0,44.4713714285714,55.4899428571429,9584840.87142857,1193083.75714286,12316605.6428571,0
"5",6,70,121.059757142857,301.900757142857,27666366.3,3820558.84285714,35171608.7,1,110.236057142857,390.583628571429,24946829.2857143,3462213.42857143,31477586.8142857,2,66.0317428571429,105.431885714286,14141543.1714286,1442887.1,17344854.2428571,0
"6",7,10,167.2031,417.2621,36395947.9,4487331.2,45057131.7,0,149.3563,554.2473,32942697.9,4067438.9,40627368.5,0,93.0603,297.4273,19424091.4,1695010.6,23080446.5,1
"7",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
