"","trains","instances","dl-grounding","dl-global","dl-rules","dl-variables","dl-constraints","dl-timeouts","dc-grounding","dc-global","dc-rules","dc-variables","dc-constraints","dc-timeouts"
"1",2,70,2.09767142857143,2.17195714285714,377044.014285714,287745.4,1001913.24285714,0,2.05041428571429,2.10241428571429,377122.042857143,287745.4,1001913.24285714,0
"2",3,70,6.18141428571429,6.61898571428571,1163337.74285714,938139.514285714,3313619.67142857,0,6.06498571428571,6.26084285714286,1163463.91428571,938139.514285714,3313619.67142857,0
"3",4,70,13.0709285714286,13.7099285714286,2402399.24285714,1973697.94285714,7014289.18571429,0,12.4792571428571,12.9208285714286,2402572.94285714,1973697.94285714,7014289.18571429,0
"4",5,70,22.3752857142857,23.588,4031384.1,3356750.21428571,11966142.1714286,0,21.9278285714286,22.7542571428571,4031603.67142857,3356750.21428571,11966142.1714286,0
"5",6,70,34.2904857142857,36.5924857142857,6023328.01428571,5020314.88571429,17905314.9142857,0,33.1871571428571,34.5567285714286,6023592.48571429,5020314.88571429,17905314.9142857,0
"6",7,10,49.4721,51.9971,8436900.9,7051733.3,25170499.9,0,47.9227,49.8877,8437210.1,7051733.3,25170499.9,0
"7",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
