"","trains","instances","crafty-grounding","crafty-global","crafty-rules","crafty-variables","crafty-constraints","crafty-timeouts","frumpy-grounding","frumpy-global","frumpy-rules","frumpy-variables","frumpy-constraints","frumpy-timeouts","handy-grounding","handy-global","handy-rules","handy-variables","handy-constraints","handy-timeouts","jumpy-grounding","jumpy-global","jumpy-rules","jumpy-variables","jumpy-constraints","jumpy-timeouts","trendy-grounding","trendy-global","trendy-rules","trendy-variables","trendy-constraints","trendy-timeouts","tweety-grounding","tweety-global","tweety-rules","tweety-variables","tweety-constraints","tweety-timeouts"
"1",2,70,3.55364285714286,3.63192857142857,377122.042857143,287665.414285714,970952.857142857,0,2.04392857142857,2.11278571428571,363945.757142857,287507.742857143,1001200.27142857,0,3.56064285714286,3.63821428571429,377122.042857143,287665.414285714,970952.857142857,0,3.44781428571429,3.5251,377122.042857143,287745.4,971108.457142857,0,3.3541,3.43067142857143,377122.042857143,287745.4,971108.457142857,0,2.12521428571429,2.17935714285714,377122.042857143,287745.4,1001913.24285714,0
"2",3,70,8.1033,8.33444285714286,1163463.91428571,937886.085714286,3267667.91428571,0,6.00364285714286,6.28707142857143,1121726.45714286,937752.971428571,3312460.04285714,0,8.28752857142857,8.51638571428571,1163463.91428571,937886.085714286,3267667.91428571,0,7.7937,8.01984285714286,1163463.91428571,938139.514285714,3268166.77142857,0,7.59981428571429,7.82381428571429,1163463.91428571,938139.514285714,3268166.77142857,0,6.33815714285714,6.53858571428571,1163463.91428571,938139.514285714,3313619.67142857,0
"3",4,70,16.4579857142857,16.9641285714286,2402572.94285714,1973172.27142857,6942135.68571429,0,12.4642142857143,13.1506428571429,2316513.95714286,1973152.22857143,7012652.04285714,0,17.0093428571429,17.5163428571429,2402572.94285714,1973172.27142857,6942135.68571429,0,15.7521428571429,16.256,2402572.94285714,1973697.94285714,6943175.11428571,0,15.3648142857143,15.8631,2402572.94285714,1973697.94285714,6943175.11428571,0,13.3893714285714,13.8485142857143,2402572.94285714,1973697.94285714,7014289.18571429,0
"4",5,70,27.5149571428571,28.3959571428571,4031603.67142857,3355861.45714286,11925254.0285714,0,21.8168285714286,23.1032571428571,3887431.25714286,3356057.75714286,11964064.8,0,28.2010142857143,29.0898714285714,4031603.67142857,3355861.45714286,11925254.0285714,0,25.5538428571429,26.4412714285714,4031603.67142857,3356750.21428571,11927013.0857143,0,24.8823,25.7571571428571,4031603.67142857,3356750.21428571,11927013.0857143,0,22.9868142857143,23.8369571428571,4031603.67142857,3356750.21428571,11966142.1714286,0
"5",6,70,42.1436714285714,43.5135285714286,6023592.48571429,5018982.07142857,17872147,0,32.8154857142857,34.8797714285714,5806530.01428571,5019483.57142857,17902820.9714286,0,42.9103142857143,44.2877428571429,6023592.48571429,5018982.07142857,17872147,0,38.3651142857143,39.7478285714286,6023592.48571429,5020314.88571429,17874787.6857143,0,37.5262571428571,38.8834,6023592.48571429,5020314.88571429,17874787.6857143,0,35.3082142857143,36.7242142857143,6023592.48571429,5020314.88571429,17905314.9142857,0
"6",7,10,60.436,62.462,8437210.1,7049861.8,25129513.3,0,48.1061,51.4321,8132498.4,7050760.1,25167580.3,0,61.7457,63.8247,8437210.1,7049861.8,25129513.3,0,55.6149,57.6679,8437210.1,7051733.3,25133223.7,0,53.7489,55.7559,8437210.1,7051733.3,25133223.7,0,49.8212,51.8352,8437210.1,7051733.3,25170499.9,0
