"","trains","instances","mce-grounding","mce-global","mce-rules","mce-variables","mce-constraints","mce-timeouts","mch-grounding","mch-global","mch-rules","mch-variables","mch-constraints","mch-timeouts","mcs-grounding","mcs-global","mcs-rules","mcs-variables","mcs-constraints","mcs-timeouts"
"1",2,70,10.0007428571429,15.6413142857143,3020970.48571429,1091278.07142857,5218774.2,0,9.43737142857143,14.1913714285714,2558790.9,979289.842857143,4273248.21428571,0,2.61085714285714,3.09714285714286,524526.328571429,441113,1592668.27142857,0
"2",3,70,17.5835428571429,54.6215428571429,4956314.82857143,1869342,8975610.1,0,15.9169285714286,53.3127857142857,4259748.94285714,1710945.52857143,7468507.77142857,0,4.25727142857143,6.1957,884535.6,744848.042857143,2722272.12857143,0
"3",4,70,25.2717714285714,246.723057142857,6953861.14285714,2690112.64285714,12838513.6857143,2,22.9225285714286,242.808385714286,5945828.42857143,2442968.61428571,10685374.5571429,1,6.1961,49.0485285714286,1295830.07142857,1084734.9,4026163.81428571,0
"4",5,70,32.4995571428572,527.987842857143,8661939.02857143,3294762.84285714,15816692.6,14,29.1682857142857,660.299714285714,7424659.48571429,2999246.32857143,13176416.9714286,19,7.85115714285714,165.039871428571,1634663.45714286,1354134.22857143,5055473.05714286,2
"5",6,70,40.4049142857143,829.436628571429,10568133.9142857,4045741.82857143,19431035.6571429,29,36.1905142857143,826.856942857143,9058220.12857143,3678640.78571429,16200768.9428571,32,9.59798571428572,330.956128571429,2004184.01428571,1633916.92857143,6138409.42857143,9
"6",7,10,47.4136,950.6386,12280008,4745241.7,22704465.4,6,42.3793000000001,1084.6923,10534560.6,4320872.4,18945501,6,11.4207,694.0527,2284295.1,1914095.5,7141526.3,4
"7",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
