"","trains","instances","mce-grounding","mce-global","mce-rules","mce-variables","mce-constraints","mce-timeouts","mch-grounding","mch-global","mch-rules","mch-variables","mch-constraints","mch-timeouts","mcs-grounding","mcs-global","mcs-rules","mcs-variables","mcs-constraints","mcs-timeouts"
"1",2,70,10.0735,15.7086428571429,3020970.48571429,1091278.07142857,5218774.2,0,9.4308,14.0966571428571,2558790.9,979289.842857143,4273248.21428571,0,2.61308571428571,3.0938,524526.328571429,441113,1592668.27142857,0
"2",3,70,17.3431,54.0083857142857,4956314.82857143,1869342,8975610.1,0,15.9888,53.6235142857143,4259748.94285714,1710945.52857143,7468507.77142857,0,4.27088571428571,6.28202857142857,884535.6,744848.042857143,2722272.12857143,0
"3",4,70,25.4044,246.478685714286,6953861.14285714,2690112.64285714,12838513.6857143,2,23.0832571428571,246.3894,5945828.42857143,2442968.61428571,10685374.5571429,1,6.17468571428571,46.6014,1295830.07142857,1084734.9,4026163.81428571,0
"4",5,70,32.6941,530.056671428571,8661939.02857143,3294762.84285714,15816692.6,14,29.3284428571429,662.655871428571,7424659.48571429,2999246.32857143,13176416.9714286,19,7.8818,166.211657142857,1634663.45714286,1354134.22857143,5055473.05714286,2
"5",6,70,40.7535,828.287785714286,10568133.9142857,4045741.82857143,19431035.6571429,30,35.8327571428572,826.583614285714,9058220.12857143,3678640.78571429,16200768.9428571,33,9.53212857142858,333.251557142857,2004184.01428571,1633916.92857143,6138409.42857143,10
"6",7,10,46.8482,951.5722,12280008,4745241.7,22704465.4,6,42.7961000000001,1084.8541,10534560.6,4320872.4,18945501,6,11.4005,691.3975,2284295.1,1914095.5,7141526.3,4
"7",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
