instance,status,min_horizon,wall_time_at_min_s,clingo_total_s,clingo_solve_s,n_probes,message
envs/Test_01/Level_0.lp,FOUND,29,0.3329,0.3250,0.0000,7,
envs/Test_01/Level_1.lp,FOUND,31,0.3344,0.3260,0.0000,6,
envs/Test_01/Level_2.lp,FOUND,33,0.3499,0.3420,0.0000,7,
envs/Test_01/Level_3.lp,FOUND,31,0.3414,0.3330,0.0000,6,
envs/Test_01/Level_4.lp,FOUND,34,0.3503,0.3420,0.0000,7,
envs/Test_01/Level_5.lp,FOUND,33,0.3389,0.3310,0.0000,7,
envs/Test_01/Level_6.lp,FOUND,34,0.3387,0.3300,0.0000,7,
envs/Test_01/Level_7.lp,FOUND,33,0.3513,0.3420,0.0000,7,
envs/Test_01/Level_8.lp,FOUND,30,0.3330,0.3250,0.0000,7,
envs/Test_01/Level_9.lp,FOUND,61,0.3721,0.3630,0.0000,7,
