instance,status,min_horizon,wall_time_at_min_s,clingo_total_s,clingo_solve_s,n_probes,message
envs/Test_07/Level_0.lp,FOUND,160,10.4217,10.2590,1.1980,8,
envs/Test_07/Level_1.lp,FOUND,163,14.9755,14.7520,2.8020,9,
envs/Test_07/Level_2.lp,FOUND,168,18.8835,18.5420,2.7730,9,
envs/Test_07/Level_3.lp,FOUND,104,6.1731,6.0710,0.3530,8,
envs/Test_07/Level_4.lp,FOUND,186,33.9055,33.4300,8.7160,9,
envs/Test_07/Level_5.lp,FOUND,202,16.7644,16.5130,3.4490,8,
envs/Test_07/Level_6.lp,FOUND,146,18.4855,18.2300,3.8460,8,
envs/Test_07/Level_7.lp,FOUND,172,30.4610,29.9980,5.1850,9,
envs/Test_07/Level_8.lp,FOUND,130,13.9949,13.8270,2.9070,9,
envs/Test_07/Level_9.lp,FOUND,159,22.6933,22.3620,3.3680,9,
