instance,status,min_horizon,wall_time_at_min_s,clingo_total_s,clingo_solve_s,n_probes,message
envs/Test_00/Level_0.lp,FOUND,30,0.3372,0.3220,0.0000,4,
envs/Test_00/Level_1.lp,FOUND,36,0.3365,0.3250,0.0000,5,
envs/Test_00/Level_2.lp,FOUND,30,0.3364,0.3280,0.0000,4,
envs/Test_00/Level_3.lp,FOUND,30,0.3409,0.3330,0.0000,4,
envs/Test_00/Level_4.lp,FOUND,40,0.3316,0.3230,0.0000,6,
envs/Test_00/Level_5.lp,FOUND,31,0.3337,0.3260,0.0000,5,
envs/Test_00/Level_6.lp,FOUND,35,0.3362,0.3280,0.0000,6,
envs/Test_00/Level_7.lp,FOUND,29,0.3336,0.3250,0.0000,4,
envs/Test_00/Level_8.lp,FOUND,37,0.3344,0.3260,0.0000,5,
envs/Test_00/Level_9.lp,FOUND,38,0.3343,0.3260,0.0000,5,
